"Osoba - ID","Osoba - Imię i nazwisko / Nazwa","Osoba - Etykieta","Osoba - Telefon - Praca","Osoba - Telefon - Dom","Osoba - Telefon - Komórkowy","Osoba - Telefon - Inny","Osoba - E-mail - Praca","Osoba - E-mail - Dom","Osoba - E-mail - Inny","Osoba - Data utworzenia osoby kontaktowej","Osoba - Czas aktualizacji","Osoba - Organizacja","Osoba - ID organizacji","Osoba - Właściciel","Osoba - Otwarte szanse sprzedaży","Osoba - Widoczne dla","Osoba - Data następnego działania","Osoba - Data ostatniego działania","Osoba - Wygrane szanse sprzedaży","Osoba - Utracone szanse sprzedaży","Osoba - Zamknięte szanse sprzedaży","Osoba - Ogółem działań","Osoba - Działania wykonane","Osoba - Działania do zrobienia","Osoba - Licznik wiadomości e-mail","Osoba - Zdjęcie profilowe","Osoba - Ostatnia otrzymana wiadomość e-mail","Osoba - Ostatnia wysłana wiadomość e-mail","Osoba - Imię","Osoba - Nazwisko","Osoba - Etykiety","Osoba - Lejek sprzedaży","Działanie - ID","Działanie - Temat","Działanie - Rodzaj","Działanie - Gotowe","Działanie - Czas oznaczenia jako wykonane","Działanie - Organizacja","Działanie - ID organizacji","Działanie - Osoba kontaktowa","Działanie - ID osoby kontaktowej","Działanie - Szansa sprzedaży","Działanie - ID szansy sprzedaży","Działanie - Termin wykonania","Działanie - Godzina wykonania","Działanie - Czas trwania","Działanie - Notatka","Działanie - Godzina dodania","Działanie - Przypisane do użytkownika","Działanie - Twórca","Działanie - Czas aktualizacji","Działanie - Czas ostatniego powiadomienia","Działanie - Lokalizacja","Działanie - Szerokość geograficzna – Lokalizacja","Działanie - Długość geograficzna – Lokalizacja","Działanie - Nr mieszkania/lokalu – Lokalizacja","Działanie - Numer domu – Lokalizacja","Działanie - Nazwa ulicy – Lokalizacja","Działanie - Dystrykt/dzielnica – Lokalizacja","Działanie - Miasto/miejscowość/wioska/lokalizacja – Lokalizacja","Działanie - Województwo/gmina – Lokalizacja","Działanie - Region – Lokalizacja","Działanie - Kraj – Lokalizacja","Działanie - Kod pocztowy – Lokalizacja","Działanie - Pełen/złożony adres – Lokalizacja","Działanie - Wolny/zajęty","Działanie - Opis publiczny","Działanie - Potencjalny klient","Działanie - ID potencjalnego klienta","Działanie - Projekt","Działanie - ID projektu","Działanie - Priorytet","Działanie - Identyfikator wideorozmowy","Działanie - Klient wideorozmowy","Działanie - URL wideorozmowy"
"1","[Przykład] Kanushi Barnes","","","","","","kanushi.barnes@gmial.com","","","2025-03-11 08:28:33","2025-03-11 08:28:39","","","Onesta","0","Wszyscy użytkownicy","2025-03-12","2025-02-28","0","0","0","3","2","1","0","","","","[Przykład] Kanushi","Barnes","","","23","[Przykład] Pierwsza próba kontaktu","Rozmowa telefoniczna","Wykonane","2025-02-25 10:28:35","","","[Przykład] Kanushi Barnes","1","","","2025-02-25","","","","2025-03-11 08:28:40","Onesta","Onesta","2025-03-11 08:28:40","","","","","","","","","","","","","","","Darmowy","[sampledata]","","","","","","","",""
"1","[Przykład] Kanushi Barnes","","","","","","kanushi.barnes@gmial.com","","","2025-03-11 08:28:33","2025-03-11 08:28:39","","","Onesta","0","Wszyscy użytkownicy","2025-03-12","2025-02-28","0","0","0","3","2","1","0","","","","[Przykład] Kanushi","Barnes","","","22","[Przykład] Druga próba kontaktu","Rozmowa telefoniczna","Wykonane","2025-02-28 10:28:35","","","[Przykład] Kanushi Barnes","1","","","2025-02-28","","","","2025-03-11 08:28:39","Onesta","Onesta","2025-03-11 08:28:39","","","","","","","","","","","","","","","Darmowy","[sampledata]","","","","","","","",""
"2","[Przykład] Anita Frazier","","","","","313-428-3135","anita.frazier@dealate.com","","","2025-03-11 08:28:33","2025-03-11 08:48:46","","","Onesta","0","Wszyscy użytkownicy","2025-03-06","2025-03-06","0","0","0","4","3","1","0","","","","[Przykład] Anita","Frazier","","","16","[Przykład] Pierwsza wizyta na terenie nieruchomości","Spotkanie","Wykonane","2025-02-19 10:28:35","","","[Przykład] Anita Frazier","2","","","2025-02-19","","","","2025-03-11 08:28:39","Onesta","Onesta","2025-03-11 08:28:38","","","","","","","","","","","","","","","Darmowy","[sampledata]","","","","","","","",""
"2","[Przykład] Anita Frazier","","","","","313-428-3135","anita.frazier@dealate.com","","","2025-03-11 08:28:33","2025-03-11 08:48:46","","","Onesta","0","Wszyscy użytkownicy","2025-03-06","2025-03-06","0","0","0","4","3","1","0","","","","[Przykład] Anita","Frazier","","","15","[Przykład] Zakończenie wyceny","Wyślij e-maila","Wykonane","2025-03-03 10:28:35","","","[Przykład] Anita Frazier","2","","","2025-03-03","","","","2025-03-11 08:28:38","Onesta","Onesta","2025-03-11 08:28:38","","","","","","","","","","","","","","","Darmowy","[sampledata]","","","","","","","",""
"2","[Przykład] Anita Frazier","","","","","313-428-3135","anita.frazier@dealate.com","","","2025-03-11 08:28:33","2025-03-11 08:48:46","","","Onesta","0","Wszyscy użytkownicy","2025-03-06","2025-03-06","0","0","0","4","3","1","0","","","","[Przykład] Anita","Frazier","","","14","[Przykład] Dom otwarty","Rozmowa telefoniczna","Wykonane","2025-03-06 10:28:35","","","[Przykład] Anita Frazier","2","","","2025-03-06","","","","2025-03-11 08:28:38","Onesta","Onesta","2025-03-11 08:28:38","","","","","","","","","","","","","","","Darmowy","[sampledata]","","","","","","","",""
"3","[Przykład] Hashim Hardy","","","","","570-809-7197","hashim.hardy@lvie.com","","","2025-03-11 08:28:33","2025-03-11 08:48:37","[Przykład] Dealate","1","Onesta","0","Wszyscy użytkownicy","2025-03-11","2025-03-01","0","0","0","7","5","2","0","","","","[Przykład] Hashim","Hardy","","","20","[Przykład] Pierwsza rozmowa","Rozmowa telefoniczna","Wykonane","2025-02-19 10:28:35","[Przykład] Dealate","1","[Przykład] Hashim Hardy","3","","","2025-02-19","","","","2025-03-11 08:28:39","Onesta","Onesta","2025-03-11 08:28:39","","","","","","","","","","","","","","","Darmowy","[sampledata]","","","","","","","",""
"3","[Przykład] Hashim Hardy","","","","","570-809-7197","hashim.hardy@lvie.com","","","2025-03-11 08:28:33","2025-03-11 08:48:37","[Przykład] Dealate","1","Onesta","0","Wszyscy użytkownicy","2025-03-11","2025-03-01","0","0","0","7","5","2","0","","","","[Przykład] Hashim","Hardy","","","9","[Przykład] Pierwszy kontakt","Spotkanie","Wykonane","2025-02-20 10:28:35","[Przykład] Dealate","1","[Przykład] Hashim Hardy","3","","","2025-02-20","","","","2025-03-11 08:28:37","Onesta","Onesta","2025-03-11 08:28:37","","","","","","","","","","","","","","","Darmowy","[sampledata]","","","","","","","",""
"3","[Przykład] Hashim Hardy","","","","","570-809-7197","hashim.hardy@lvie.com","","","2025-03-11 08:28:33","2025-03-11 08:48:37","[Przykład] Dealate","1","Onesta","0","Wszyscy użytkownicy","2025-03-11","2025-03-01","0","0","0","7","5","2","0","","","","[Przykład] Hashim","Hardy","","","19","[Przykład] Wizyta na terenie nieruchomości","Spotkanie","Wykonane","2025-02-21 10:28:35","[Przykład] Dealate","1","[Przykład] Hashim Hardy","3","","","2025-02-21","","","","2025-03-11 08:28:39","Onesta","Onesta","2025-03-11 08:28:39","","","","","","","","","","","","","","","Darmowy","[sampledata]","","","","","","","",""
"3","[Przykład] Hashim Hardy","","","","","570-809-7197","hashim.hardy@lvie.com","","","2025-03-11 08:28:33","2025-03-11 08:48:37","[Przykład] Dealate","1","Onesta","0","Wszyscy użytkownicy","2025-03-11","2025-03-01","0","0","0","7","5","2","0","","","","[Przykład] Hashim","Hardy","","","8","[Przykład] Spotkanie i porozumienie w sprawie ustalenia wartości","Spotkanie","Wykonane","2025-02-26 10:28:35","[Przykład] Dealate","1","[Przykład] Hashim Hardy","3","","","2025-02-26","","","","2025-03-11 08:28:37","Onesta","Onesta","2025-03-11 08:28:37","","","","","","","","","","","","","","","Darmowy","[sampledata]","","","","","","","",""
"3","[Przykład] Hashim Hardy","","","","","570-809-7197","hashim.hardy@lvie.com","","","2025-03-11 08:28:33","2025-03-11 08:48:37","[Przykład] Dealate","1","Onesta","0","Wszyscy użytkownicy","2025-03-11","2025-03-01","0","0","0","7","5","2","0","","","","[Przykład] Hashim","Hardy","","","18","[Przykład] Umowa wyceny i utworzenia oferty","Wyślij e-maila","Wykonane","2025-03-01 10:28:35","[Przykład] Dealate","1","[Przykład] Hashim Hardy","3","","","2025-03-01","","","","2025-03-11 08:28:39","Onesta","Onesta","2025-03-11 08:28:39","","","","","","","","","","","","","","","Darmowy","[sampledata]","","","","","","","",""
