"Osoba - ID","Osoba - Imię i nazwisko / Nazwa","Osoba - Etykieta","Osoba - Telefon - Praca","Osoba - Telefon - Dom","Osoba - Telefon - Komórkowy","Osoba - Telefon - Inny","Osoba - E-mail - Praca","Osoba - E-mail - Dom","Osoba - E-mail - Inny","Osoba - Data utworzenia osoby kontaktowej","Osoba - Czas aktualizacji","Osoba - Organizacja","Osoba - ID organizacji","Osoba - Właściciel","Osoba - Otwarte szanse sprzedaży","Osoba - Widoczne dla","Osoba - Data następnego działania","Osoba - Data ostatniego działania","Osoba - Wygrane szanse sprzedaży","Osoba - Utracone szanse sprzedaży","Osoba - Zamknięte szanse sprzedaży","Osoba - Ogółem działań","Osoba - Działania wykonane","Osoba - Działania do zrobienia","Osoba - Licznik wiadomości e-mail","Osoba - Zdjęcie profilowe","Osoba - Ostatnia otrzymana wiadomość e-mail","Osoba - Ostatnia wysłana wiadomość e-mail","Osoba - Imię","Osoba - Nazwisko","Osoba - Etykiety"
"1","[Przykład] Kanushi Barnes","","","","","","kanushi.barnes@gmial.com","","","2025-03-11 08:28:33","2025-03-11 08:28:39","","","Onesta","0","Wszyscy użytkownicy","2025-03-12","2025-02-28","0","0","0","3","2","1","0","","","","[Przykład] Kanushi","Barnes",""
"2","[Przykład] Anita Frazier","","","","","313-428-3135","anita.frazier@dealate.com","","","2025-03-11 08:28:33","2025-03-11 08:48:46","","","Onesta","0","Wszyscy użytkownicy","2025-03-06","2025-03-06","0","0","0","4","3","1","0","","","","[Przykład] Anita","Frazier",""
"3","[Przykład] Hashim Hardy","","","","","570-809-7197","hashim.hardy@lvie.com","","","2025-03-11 08:28:33","2025-03-11 08:48:37","[Przykład] Dealate","1","Onesta","0","Wszyscy użytkownicy","2025-03-11","2025-03-01","0","0","0","7","5","2","0","","","","[Przykład] Hashim","Hardy",""
"4","[Przykład] Benjamin Leon","","","","","785-202-7824","benjamin.leon@gmial.com","","","2025-03-11 08:28:33","2025-03-11 08:48:30","","","Onesta","0","Wszyscy użytkownicy","2025-03-10","2025-03-07","0","0","0","6","4","2","0","","","","[Przykład] Benjamin","Leon",""
"5","[Przykład] Phyllis Yang","","","","","240-707-3884","phyllis.yang@gmial.com","","","2025-03-11 08:28:33","2025-03-11 08:48:42","","","Onesta","0","Wszyscy użytkownicy","2025-03-14","2025-03-03","0","0","0","3","2","1","0","","","","[Przykład] Phyllis","Yang",""
"6","[Przykład] Gloria Quinn","","","","","862-252-9773","gloria.quinn@emailz.com","","","2025-03-11 08:28:33","2025-03-11 08:28:45","","","Onesta","0","Wszyscy użytkownicy","2025-03-08","2025-02-22","0","1","1","3","2","1","0","","","","[Przykład] Gloria","Quinn",""
"7","[Przykład] Darcie Dixon","","","","","313-353-7151","darcie.dixon@ownerate.com","","","2025-03-11 08:28:33","2025-03-11 08:28:43","","","Onesta","0","Wszyscy użytkownicy","2025-03-08","2025-02-28","0","0","0","3","2","1","0","","","","[Przykład] Darcie","Dixon",""
"8","[Przykład] Githa Watson","","","","","260-414-1246","githa.watson@ooutlook.com","","","2025-03-11 08:28:33","2025-03-11 08:48:33","","","Onesta","0","Wszyscy użytkownicy","2025-03-07","2025-03-08","0","0","0","7","5","2","0","","","","[Przykład] Githa","Watson",""
"9","[Przykład] Aruna Hill","","","","","478-575-6488","aruna.hill@mssn.com","","","2025-03-11 08:28:33","2025-03-11 08:48:28","","","Onesta","0","Wszyscy użytkownicy","","2025-03-01","0","0","0","2","2","0","0","","","","[Przykład] Aruna","Hill",""
"10","[Przykład] Constanzo Santoro","","","","","402-657-2471","constanzo.santoro@lvie.com","","","2025-03-11 08:28:33","2025-03-11 08:48:23","","","Onesta","0","Wszyscy użytkownicy","2025-03-10","2025-03-01","0","0","0","4","3","1","0","","","","[Przykład] Constanzo","Santoro",""
